Author,Node full name,Node short name,Type of node,Start,End,Description,Image link,Video link,Location,Country,Location coordinates,Target participant qualifier 1,Target participant qualifier 2,Number of participants,Type of engagement,Type of audience,Duration,Made by,Inspired by,In opposition to,In response to,Associated / works with,Exhibited with,Exhibited at
VR,"John Latham, Derelict Land Art: Five Sisters","Latham, Derelict Land Art",Interventions,01/12/1975,01/04/1976,"In 1966 Latham founded the Artist Placement Group with Barbara Steveni, Jeffrey Shaw and Barry Flanagan, to set up ‘placements’ for artists within organisations and businesses. The intention was that, by sharing skills, artists would play a more active and influential role in society. In 1975-76 Latham undertook a placement with the Scottish Development Office. He was invited to come up with a plan for dealing with ‘bings’ or huge heaps of coal waste. Recognising that the bings had an ‘immaculate and classical nature’, Latham recommended they be preserved as monuments, thus eliminating the need for their costly removal.",http://www.tate.org.uk/art/images/work/T/T02/T02071_9.jpg,,"Midlothian and West Lothian, Scotland, UK ",UK ,"55.858849,-3.5882777",,,,Mixed,,5 months,,,,,Artist Placement Group,,
VR,Artist Placement Group,Artist Placement Group,Initiatives,1966,1982,"The Artist Placement Group (APG) emerged in London in the 1960s. The organisation actively sought to reposition the role of the artist within a wider social context, including government and commerce, while at the same time playing an important part in the history of conceptual art during the 1960s and 1970s. The idea of Artist Placement stemmed from a group of UK artists, and was guided by John Latham and initiated by Barbara Steveni, who were experimenting with radical new forms of art. Directed by Steveni, the APG pioneered the concept of art in the social context. From the outset their notion of ‘placement’ acknowledged the marginalised position of the artist and sought to improve the situation. By enabling artists to engage actively in non-art environments, the APG shifted the function of art towards ‘decision-making’. Acting outside the conventional art gallery system, the APG attempted, through negotiation and agreement, to place artists within industry and government departments. The artist would become involved in the day-to-day work of the organisation and be paid a salary equal to that of other employees by the host organization, while being given the new role of maintaining sufficient autonomy to acting on an open brief. These placements resulted in a variety of artists’ reports, films, photographs, interviews, poetry and art installations. Artists of international repute, such as Keith Arnatt, Ian Breakwell, Stuart Brisley, George Levantis and David Hall, had important placements or early associations with the APG.",http://www2.tate.org.uk/artistplacementgroup/images/homepageimg.jpg,,UK,UK ,"51.5287352,-0.3817857",All,Profession,,Mixed,,,,,,,"John Latham, Stuart Brisley, Barbara Steveni",,
VR,"Stuart Brisley, Beneath Dignity","Brisley, Beneath Dignity",Performances,1977,,"Beneath Dignity, Bregenz 1977 was performed in conjunction with an exhibition of British art in Austria (Englishe Kunst der Gegenwart in September 1971); Brisley was invited by Norbert Lynton to take part. Brisley had worked during this year on an Artist Placement Group project in Peterlee in a community of miners and the title is indicative of his sympathy with the miners, and the lowness (and implied loneliness) of their working conditions. The work that preceded it had a similar preoccupation with digging and working in appalling conditions. In Bregenz he was presented with a strikingly different environment: a picturesque town by the side of a lake (Lake Constance) with a small mountain behind. This work is a response to this setting, the movement from mountain to flat ground and the lake (from the vertical to the horizontal). He chose to work on a quayside, using five roughly constructed frames which marked the limits of his physical reach. The materials which he employed were water, chalk, powder (flour) and paint (black and white). He made five separate statements using each of the materials, working in all for four days. In order to reduce the drama of the work (a character that Brisley abhors) the fifth frame was a mixture of black and white. On the last day the audience was large and Brisley avoided a climax to the work by jumping into the lake and swimming, replicating his drawing action in water, another medium.",http://www.tate.org.uk/art/images/work/T/T03/T03315_9.jpg,,"Bregenz, Austria",Austria ,"47.4684475,9.6498534",,,,Object interaction,,,,,,,Artist Placement Group,,
,"Stuart Brisley, Artist Project Peterlee","Brisley, Artist Project Peterlee",Interventions,1976,1977,,http://www.tate.org.uk/art/images/work/TGA/TGA-201114/TGA-201114-4-7-1_9.jpg,,"Peterlee, UK",UK ,"54.7586315,-1.3759919",,Shared background,,Workshop,,,,,,,Artist Placement Group,,
VR,"Stephen Willats, Living with Practical Realities","Willats, Living with Practical Realities",Other artwork,1977,,"Living with Practical Realities’ is the first work in which, as the title implies, Willats used the real environment of his subject rather than enacting or reconstructing events for the photographs in the work. He had been concerned for several years with the ways in which people construct their own worlds in relation to the social or physical constraints put upon them. In this work he was anxious to investigate the way in which buildings represent, or are symbols for, the culture we live in. The tower block seemed an obvious candidate for study. Willats, who was brought up in West London, chose Skeffington Court in Hayes because it was a model development in the local authority's eyes and had been opened by Harold Wilson in a spirit of confidence about this form of housing. It was also close to a high density low-rise development with which he hoped to make comparisons. He began by photographing the outside of the block and through this introduced himself to several of the tenants. (He used this material for another work ‘Vertical Living’ concurrent with ‘Living with Practical Realities’). The theme that Willats had in mind was the discovery and portrayal of the isolation of people within the tower block. He was introduced to Mrs Moran, who lived alone, and who was, in addition, elderly and thus further disadvantaged in relation to the society around her. Willats explained his work to her and began a collaboration which involved him photographing the flat and her, and tape recording interviews: this process continued for six months.",http://www.tate.org.uk/art/images/work/T/T03/T03296_9.jpg,,"Skeffington Court, Hayes, London, UK ",UK ,"51.5047393,-0.4198262",Gender identity,Elderly,1,Discursive,,6 months,,,,,,,
AF,"Art Hostel, East Street Arts","Art Hostel, East Street Arts",Initiatives,2015,,"In 2015, Leeds-based arts organisation East Street Arts opened their 'Art Hostel'. Renovating an unused 18th century building in the centre of Leeds, East Street Arts have titled this as social enterprise project, designed to feed back into the local economy, while allowing artists and visitors to integrate with the local cultural community. The Art Hostel is a collaborative project, with artists designing and decorating the rooms in the hostel, and it also includes an exhibition space and a basement used for installations and events. Its purpose, as well as supporting the local economy and Leeds's cultural scene, is to also mirror other European models of 'hosting' for visitors to towns and cities, creating an immersive experience for those visiting. ",http://arthostel.org.uk/wp-content/uploads/2015/06/Art-Hostel.jpg,,"Kirkgate, Leeds, UK ",UK ,"53.796409, -1.537869",All,,,Mixed,,,East Street Arts ,,,,,,
AF,East Street Arts,East Street Arts,Institutions - Art,1993,,"East Street Arts is a Leeds based arts organisation which supports artist development, through providing studio space, mentoring, events and membership to their organisation. They also run outward looking programmes, such as the temporary spaces programme, which makes use of empty commercial and private properties in Leeds and the surrounding area, by providing this space at reduced cost to local artists or collectives. They also run participatory arts programmes in Chapeltown in Leeds, encouraging local artists to engage with the community, and present exhibitions and events in their space Union 105. ",http://www.eaststreetarts.org.uk/wp-content/themes/eaststreet/images/Patrick-Studios9.jpg,,"Patrick Studios, Leeds, UK",UK ,"53.799498, -1.529351",,,,,,,,,,,"East Street Arts, Art Hostel",,
AF,"Up Hill, Down Hall: An Indoor Carnival ","Up Hill, Down Hall",Exhibitions,23/08/2014,,"Up Hill, Down Hall: An Indoor Carnival was a one day performance event hosted by Tate Modern, curated by Claire Tancons and timed to coincide with the fiftieth anniversary of the Notting Hill Carnival. Involving installation, sound art, and performance works, the event explore socio-political tensions between participants in carnival, and local authorities and police. Participation occured both in the visitors engaging with the carnival atmosphere, and in the various groups performing the works. ",http://images.tate.org.uk/sites/default/files/styles/width-600/public/images/mgriffith017.jpg?itok=CeFms6aS,,"Turbine Hall, Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,,,Mixed,,3 hours ,Clare Tacons ,,,,,,
AF,"Hew Locke, Give and Take","Locke, Give and Take",Performances,23/08/2014,,"As part of the carnival event 'Up Hill, Down Hall: An Indoor Carnival', Hew Locke presented the work 'Give and Take'. Consisting of 6 drummers and 54 performers, the work used images of carnival and Notting Hill to explore experiences of carnival, and tensions between participants and police. The participants used shields covered with images of buildings from Notting Hill to move the audience, encouraging them initially to join in with the carnival beat of the drums, then herding them around the space of the Turbine Hall. The drum-beat alternatively mimicked carnival rhythms, and the sound of batons on police shields, creating ambiguity.  ",http://www.hewlocke.net/giveandtake1.jpg,,"Turbine Hall, Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,,"54 performers, 6 drummers. Unknown audience numbers",Instructed,,35 minutes approx. ,Hew Locke,,,,,,Up Hill Down Hall: An Indoor Carnival Tate Modern
AF,"Marlon Griffith, No Black in the Union Jack","Griffith, No Black in the Union Jack",Performances,23/08/2014,,"As his contribution to the curated carnival event 'Up Hill, Down Hall: An Indoor Carnival' at Tate Modern, Marlon Griffith designed the carnival-parade work No Black in the Union Jack. The work involved participants from the Elimu Paddington Arts Mas band, who he had designed carnival bands for previously, and the band was joined by other volunteers from Tate. The costuming of this particular event drew from the 2011 London riots, and designed to look simultaneously like tropical hummingbirds, and riot-police gear, highlighting the tensions around Carnival. The participants processed from St Paul's, across the Millenium Bridge, and into the Turbine Hall. ",http://images.tate.org.uk/sites/default/files/styles/width-600/public/images/mgriffith007.jpg?itok=Yy2qLkmQ,,"Turbine Hall, Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,Shared background,60 performers,Instructed,,,Marlon Griffith,Christopher Cozier; Irenee Shaw,,,Claire Tancons,,Up Hill Down Hall: An Indoor Carnival Tate Modern
,Irenee Shaw,Irenee Shaw,Artists,,,,,,,,,,,,,,,,,,,,,
,Christopher Cozier ,Christopher Cozier ,Artists,,,,,,,,,,,,,,,,,,,,,
AF,Claire Tancons,Claire Tancons,Curators,,,,,,,,,,,,,,,,,,,,,
AF,Marlon Griffith,Marlon Griffith,Artists,,,,,,,,,,,,,,,,,,,,,
AF,Hew Locke ,Hew Locke ,Artists,,,,,,,,,,,,,,,,,,,,,
AF,"Amalia Pica, Strangers, Tate Modern","Pica, Strangers",Performances,13/06/2016,03/07/2016,"During the opening of Tate Modern's Switch House building, Amalia Pica's Strangers was exhibited for three weeks in one of the collection galleries. A group of volunteer participants, who were strangers, were employed to perform the work over four hours each day of the exhibition. They were able to talk briefly with visitors, and a label explaining the nature of the work was also on display in the gallery. The two participants stood, each holding one end of a 10 metre string of coloured bunting which hung between them. For the duration of the exhibition, they stood facing one another but did not communicate. ",http://images.tate.org.uk/sites/default/files/styles/width-600/public/images/amaliapicastrangersperformanceb.jpg?itok=etoJMB9N,,"Level 2 Gallery, Switch House, Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,,,Instructed,Exhibition/museum visitors,4 hours per day across 3 weeks ,,,,,,,
,Amalia Pica,Amalia Pica ,Artists,,,,,,,,,,,,,,,,"Cildo Meireles, Helio Oiticica, Lygia Clark, Victor Grippo ",,,,,
AF,"Amalia Pica, Strangers, Arnolfini","Pica, Strangers",Performances,02/02/2013,14/04/2016,"Exhibited as part of Vision Control at the Arnolfini in Bristol in 2013, Amalia Pica's Strangers was opened to visitors of the gallery to participate. The 10 metre string of brightly coloured bunting was displayed in the gallery when the work was not activated, and visitors were free to pick this up and stand opposite a stranger for any length of time. ",,,"Arnolfini Gallery, Bristol, UK ",UK ,"51.450000, -2.597253",All,,,Instructed,Exhibition/museum visitors,,,,,,,,Version Control Arnolfini 2013
,Lygia Clark ,Lygia Clark ,Artists,,,,,,,,,,,,,,,,,,,,,
AF,"Version Control, Arnolfini ","Version Control, Arnolfini ",Exhibitions,02/02/2013,14/04/2016,,,,"Arnolfini Gallery, Bristol, UK",UK,"51.450000, -2.597253",,,,,,,,,,,,,
,Victor Grippo ,Victor Grippo ,Artists,,,,,,,,,,,,,,,,,,,,,
,"Arnolfini, Bristol",Arnolfini,Institutions - Art,,,,,,,,,,,,,,,,,,,The University of Local Knowledge ,,
AF,"Paola Pivi, 1000","Pivi, 1000",Performances,25/05/2009,,"As part of the 2009 UBS Openings: The Long Weekend, a four day performance event at Tate Modern, Paola Pivi presented the work 1000. This work involved 1000 participants, from various groups and institutions, volunteering to scream continuously and simultaneously for one minute while standing on the Turbine Hall Bridge. Pivi's volunteers were from various different universities, social and political groups, and organisations, including members of the 'Free Tibet' movement with whom Pivi had worked closely on other occasions. Pivi's overarching aim in the bringing together of such a large group of volunteers, from different backgrounds and causes, was to briefly bring together the issues of life and art. ",http://images.tate.org.uk/sites/default/files/styles/grid-normal-12-cols/public/images/ppivi4.jpg?itok=kEFJH8E7,https://www.youtube.com/watch?v=yhXyAbOYXQU,"Turbine Hall, Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,,c. 1000,Instructed,Exhibition/museum visitors,1 minute ,Paola Pivi,,,,,,
,Paola Pivi,Paola Pivi,Artists,,,,,,,,,,,,,,,,,,,,,
AF,"Marepe, Go and return Necessaire","Marepe, Go and Return Necessaire",Exhibitions,2000,,"Marepe's work 'Go and Return Necessaire' began through work with 24 children and teenagers from a local capoeira class. Marepe showed these children and teenagers images from his own work, concerned with the local area of Brazil, and compared these to colonial images of the same area; he then took them on various walking routes around their local area, encouraging them to draw their impressions of the area. They also took part in various activities organised by Marepe involving turning found objects into instruments, and sandals. One of their most significant activities was their scavenging and reconstruction of two cotton candy machines, which became focal objects for considering issues around Brazil's relationship to sugar. After these activities, Marepe installed the cotton candy machines - one of which worked - and a number of the children's watercolours, as part of the exhibition at Museu de Arte Moderna de Bahia. ",,,"Museu de Arte Moderna de Bahia, Bahia, Brazil ",Brazil ,"-12.981692, -38.520617",Ethnic/social group,Children,24,Generative,Exhibition/museum visitors,,Marepe,,,,,,
,Marepe,Marepe,Artists,,,,,,,,,,,,,,,,"Marchel Duchamp, Lygia Clark ",,,,,
,"Museu de Arte Moderna da Bahia, Salvador ",Museu de Arte Moderna de Bahia,Institutions - Art,,,,,,"Museu de Arte Moderna de Bahia, Bahia, Brazil ",Brazil ,"-12.981692, -38.520617",,,,,,,,,,,,,
AF,"Surasi Kusolwong, One Pound Turbo Market","Kusolwong, One Pound Turbo Market",Performances,26/05/2006,,"Presented as part of the 2006 UBS Openings: The Long Weekend at Tate Modern, Surasi Kusolwong's One Pound Turbo Market (you'll have a good time) transformed the Turbine Hall into a colourful, performance-filled market. Selling the 'props' of the performance at a flat rate of £1 to visitors to the museum, they became participants in the work, where the consumption of the objects, all valued equally in the frame of the artwork, was integral to the content of the work. ",https://cdn.onarto.com/wp-content/uploads/2016/01/Surasi-Kusolwong-%E2%80%93-Acclaimed-Performative-Installation-Artist-06.jpg,http://www.tate.org.uk/context-comment/video/ubs-openings-long-weekend-2006-surasi-kusolwong,"Turbine Hall, Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,,,Object interaction,Exhibition/museum visitors,,Surasi Kusolwong,,,,,,Tate Modern
,Surasi Kusolwong,Surasi Kusolwong,,,,,,,,,,,,,,,,,,,,,,
AF,"Nina Beier and Marie Lund, Clap in Time (All the People at Tate Modern) ","Beier and Lund, Clap in Time ",Performances,10/03/2007,,"As part of the event at Tate Modern 'Actions and Interruptions', which aimed to highlight the behaviours within the museum space, Nina Beier and Marie Lund presented Clap in Time (All the People at Tate Modern). In this, Beier and Lund had contacted Tate staff members prior to the performance, and advertised the event around the museum, although there was no direct invitation to participate. At 4.30pm, people across the museum stopped whatever they were doing and began to clap; this had initially been imagined as a five minute performance, but expanded organically to 15 minutes. There was a split within the museum between those who were aware and initiated the clapping, those who began to join in, and those who did not participate, and just observed the actions of others.  ",http://images.tate.org.uk/sites/default/files/styles/listing-page-thumb/public/images/beierlundsheila01.jpg?itok=ND_laUiF,http://www.tate.org.uk/context-comment/video/actions-and-interruptions,"Tate Modern, London, UK ",UK ,"51.5075953,-0.1015451",All,,,Instructed,Exhibition/museum visitors,Approximately 15 minutes,,,,,,Roman Ondak,
,Nina Beier ,Nina Beier ,Artists,,,,,,,,,,,,,,,,,,,Marie Lund,,
,Marie Lund,Marie Lund,Artists,,,,,,,,,,,,,,,,,,,Nina Beier ,,
AF,"Adrian Piper, Funk Lessons","Piper, Funk Lessons",Performances,1982,1984,"Between 1982 and 1984, Adrian Piper undertook a number of Funk Lessons with groups of various sizes. The workshops were intended to explore funk music as part of African American culture, and the dance style around it as a collective, participatory practice in comparison to other forms of social dancing. The participants were encouraged not only to discuss the music and learn the dance styles, but to engage in this practive as a collective. ",https://s3-us-west-2.amazonaws.com/sfmomaopenspace/wp-content/uploads/2012/11/1984_AP_FunkLessonsPoster_LG1.jpg,http://www.adrianpiper.com/vs/video_fl.shtml,,,,All,,,Workshop,Participants only,,Adrian Piper,,,,,,
AF,"Adrian Piper, Funk Lessons","Piper, Funk Lessons",Performances,1982,1984,,,,"University of California, Berkley, USA ",USA ,"37.872035, -122.25931",All,,,Workshop,Participants only,,Adrian Piper,,,,,,
AF,"Adrian Piper, Funk Lessons","Piper, Funk Lessons",Performances,1982,1984,,,,"New Langton Arts, San Francisco, USA ",USA ,"37.774559, -122.410958",All,,,Workshop,Participants only,,Adrian Piper,,,,,,
AF,"Adrian Piper, Funk Lessons","Piper, Funk Lessons",Performances,1982,1984,,,,"The San Francisco Art Institute, San Francisco, USA ",USA ,"37.803540, -122.417333",All,,,Workshop,Participants only,,Adrian Piper,,,,,,
,Adrian Piper,Adrian Piper,Artists,,,,,,,,,,,,,,,,,,,,,documenta 11 
AF,"Pedro Reyes, Sanatorium","Reyes, Sanatorium",Performances,04/07/2013,05/09/2013,"Presented during the Whitechapel Art Gallery's summer exhibition 'The Spirit of Utopia', Pedro Reyes Sanatorium provided exhibition visitors with the opportunity to undergo therapy, either individually or as part of a group. The installation consisted of 16 rooms with different types of therapy and treatment, all designed around the notion of 'Sociatry', a way to cure the ills of those living in urban spaces. Visitors participated in the therapies on offer and could then respond with how they felt these had helped with their particular questions or issues. Those acting as the therapists were, in fact, non-professionals, giving a double layer of participation to this particular artwork. ",http://www.outset.org.uk/files/2313/7450/7584/OP-58-PedroReyes-WhitechapelGallery-Image4.jpg,,"The Whitechapel Art Gallery, London, UK ",UK ,"51.516091, -0.070180",All,,,Mixed,Exhibition/museum visitors,,Pedro Reyes,,,,,,dOCUMENTA (13)
,Pedro Reyes,Pedro Reyes,,,,,,,,,,,,,,,,,,,,,,
AF,"Ilana Mitchell, Camden Communality","Mitchell, Camden Communality",Initiatives,24/04/2007,01/08/2007,"Ilana Mitchell, over four months in 2007, developed 'Camden Communality', a project involving a communal garden at the Camden Arts Centre. As well as being encouraged to help keep the garden growing and to produce communal fruit, vegetables, and herbs, participants were also part of discussion and conversations about the nature of community, both in their local project and more broadly. ",https://ilanamitchell.files.wordpress.com/2010/07/cc_garden_soup2.jpg,,"Camden Arts Centre, London, UK ",UK ,"51.550784, -0.183677",All,,,Generative,Participants only,Four months approximately,Ilana Mitchell,,,,,,
,Ilana Mitchell,Ilana Mitchell,Artists,,,,,,,,,,,,,,,,,,,,,
AF,"Invisible Flock, 105+dB","Invisible Flock, 105+dB",Other artwork,25/06/2016,,"On the 30th April 2016, Invisible Flock used custom recording equipment to record the noises of the crowds at Leeds United's last match of the season. The recording techniques not only captured the sound of the crowd, focusing in also on individual voices, but also replicated the space in which these sounds were created. The crowd noises and individual responses were then recreated in spaces both in Leeds and Europe, including - in this case - Brewery Green, outside the Tetley gallery in Leeds. Those encountering the artwork were able to move around the soundscape as if it were a sculpture, experiencing different voice and reponses at different points in time and space. ",http://invisibleflock.com/newSiteBuild/wordpress/wp-content/uploads/2015/08/105db-Lille-Part1-028-80441.jpg,,"The Tetley, Leeds, UK ",UK ,"53.792136, -1.539567",All,Shared background,,Generative,Passers-by,,,,,,"East Street Arts, The Tetley ",,
,Invisible Flock,Invisible Flock,Artists,,,,,,,,,,,,,,,,,,,,,
,"The Tetley, Leeds ",The Tetley,Institutions - Art,,,,,,"Leeds, UK",UK ,"53.792136, -1.539567",,,,,,,,,,,,,
AF,"East Street Arts, 105 Women","East Street Arts, 105 Women",Exhibitions,08/12/2015,13/12/2015,"The project 105 Women was part of East Street Art's Chapeltown commissions, which included an exhibition at the art organisation's outreach space, Union 105. Women originating from across the world, who represented the diverse population of the Chapeltown area, and were collectively known as 'Rainbow Hearts' held craft making workshops, held open days, discussed the position of women in society, built a community together, and created works which were then put on public display. ",http://eaststreetarts.org.uk/wp-content/uploads/2015/12/women-of-the-world.jpg,,"Union 105, Chapeltown, Leeds, UK ",UK ,"53.812154, -1.534570",Gender identity,Shared background,,Mixed,Exhibition/museum visitors,,,,,,East Street Arts  ,,
AF ,Culture in Action ,Culture in Action ,Exhibitions,1991,1993,"Curated by Mary Jane Jacobs, 'Culture in Action' was an exhibition which explored what social intervention and public art was in the early 1990s. Involving eight artists, or artists groups, the exhibition involved a number of participatory works with various groups in and around Chicago. Jacobs was commissioned by Scuplture Chicago to consider the changing nature of public sculpture in the 20th century, and she invited artists to consider what social sculpture could be, if the material object was consequently unimportant. ",,,"Chicago, USA ",USA ,"41.871241, -87.630564",All,,,Mixed,Passers-by,,Mary Jane Jacobs,,,,Sculpture Chicago ,,
AF,Mary Jane Jacobs,Mary Jane Jacobs,Curators,,,,,,,,,,,,,,,,Suzanne Lacy  ,,,,,
AF,Sculpture Chicago ,Sculpture Chicago ,Interventions,,,,,,"Chicago, USA",USA ,"41.871241, -87.630564",,,,,,,,,,,Mary Jane Jacobs ,,
AF,"Daniel Martinez, Consequences of a Gesture ","Martinez, Consequences of a Gesture ",Interventions,01/06/1993,,"Commissioned as part of Culture in Action, Daniel Martinez's Consequences of a Gesture brought together around 800 participants from Mexican American or African American communities to march through the streets of Chicago. An attempt to create a community intervention, and remove material objects from the centre of art making, the carnival-style march was also a comment on the University of Chicago's purchase of real estate from the area which displaced local merchants as a result. ",https://neverthesamedotorg.files.wordpress.com/2011/10/martinez_consequences-of-a-gesture_4.jpg,,"Maxwell Street, Chicago, USA ",USA ,"41.864741, -87.647815",Ethnic/social group,Shared background,800,Devised,Passers-by,,Daniel Martinez,,,,,,Culture in Action
AF,"Simon Grennand and Christopher Sperandio, The Workers Make the Candy of their Dreams ","Grennand and Sperandio, The Workers ",Interventions,01/02/1993,,"Part of the Culture in Action exhibition, Simon Grennand and Christopher Sperandio worked with 12 members of the Bakery, Confectionery and Tabacco Workers Union from the local Nestle plant in Chicago. Their collaboration culminated in the creation of the 'We Got It!' chocolate bar, which featured on its label the names of all the participants to the project. Confronted by problems with using the factory space itself, the participants eventually met outside of their working environment and the chocolate bars were manufactured in another state, by a similar union group. ",https://neverthesamedotorg.files.wordpress.com/2011/10/grennan-speramdio-3.jpg,,"Dearborn Street, Chicago, USA ",USA ,"41.881636, -87.628653",All,Profession,12,Generative,Passers-by,,,,,,,,Culture in Action
,Simon Grennand  ,Simon Grennand  ,Artists,,,,,,,,,,,,,,,,,,,Christopher Sperandio,,"Traffic CAPC Bourdeaux, Culture in Action "
,Christopher Sperandio,Christopher Sperandio,Artists,,,,,,,,,,,,,,,,,,,Simon Grennand  ,,"Traffic CAPC Bourdeaux, Culture in Action "
,Daniel Martinez,Daniel Martinez,Artists,,,,,,,,,,,,,,,,,,,,,Culture in Action 
AF,"Inigo Manglano-Ovalle, Tele-Vecindario","Manglano-Ovalle, Tele-Vecindario ",Initiatives,1992,,"Tele-Vecindario was a social art intitiative by Inigo Manglano-Ovalle, organised within the artist's own neighbourhood. Taking place at the convergence of a number of gang-lines, the intitiative allowed members of the community to create video dialogues with their neighbours. After the initial period of the initiative, 1992 - 1993, a youth division of the project - Street-Level Youth Media - continued. They hosted a block party for those involved, with hundreds of spectators, and screened a video installation created by them during the project. ",,,"Chicago, USA",USA ,"41.871367, -87.647415",Ethnic/social group,,,Mixed,Local community,,Inigo Manglano-Ovalle,,,,,,Culture in Action 
,Inigo Manglano-Ovalle ,Inigo Manglano-Ovalle,Artists,,,,,,,,,,,,,,,,,,,,,
AF,"Suzanne Lacy, Full Circle","Lacy, Full Circle ",Interventions,1992,1993,"Suzanne Lacy, working with a group of women from Chicago, enacted Full Circle over the course of a year. Having sourced 100 half-ton blocks of limestone, Lacy had these placed around the city of Chicago as part of Culture in Action. Each block had a brass plaque, 10 of which referred to historical figures and 90 to living women, all of whom had shaped life in Chicago in some way. Over the next day, individuals or groups gathered to celebrate the lives of the women represented. The work was in direct response to the lack of public monuments or sculptures in Chicago by, or about, women. ",https://static1.squarespace.com/static/52aa861ce4b04dd8c25987fb/52f31caee4b0281dace02f28/52f31cece4b05530d5b84c31/1391664373422/fc01pinney.jpg,,"Chicago, USA",USA ,"41.871367, -87.647415",Gender identity,,,Object interaction,Passers-by,,Suzanne Lacy ,,,,,,Culture in Action 
AF,"Suzanne Lacy, Dinner at Jane's","Lacy, Dinner at Jane's ",Interventions,1993,,"As the second part of her contribution to Culture in Action, Suzanne Lacy invited 14 international women activists to dinner at the Hull House, founded by Jane Addams, a recipient of one of the stone monuments erected by Lacy in Full Circle. The house had been a site of social justice and educational activism for over 100 years, linked particularly to the US Settlement Movement. The women invited were Magdalena Abakanowicz, Cheryl Carolus, Hyung-Kyung Chung, Johnetta Cole, Mirna Cunningham, Nawal El Sadawi, Susan Faludi, Susan Grode, Anita Hill, Dolores Huerta, Devaki Jain, Wilma Mankiller, Gloria Steinem, and Addie Wyatt. The dinner was filmed, and a documentary about it was made. ",,,"Hull House, Chicago, USA",USA ,"41.871367, -87.647415",Gender identity,Profession,14,Discursive,Participants only,,Suzanne Lacy ,,,,,,Culture in Action 
AF,"HaHa, Flood: A volunteer network for active participation in healthcare","HaHa, Flood",Interventions,1992,1995,"Flood began life as a group of participants originally organised by HaHa. As part of their response to the invitation from Mary Jane Jacobs to participate in Culture in Action, they occupied a storefront in Chicago and created a hydroponic garden. Growing vegetables and therapeutic herbs for HIV patients, the garden was active for over three years in the storefront space. Alongside the garden, the group also hosted information and training days, public events, and education meetings, as well as round table discussions. In the longer term, this project led to the involvement of members of the group with other public gardening projects, both locally and across the US, and the establishment of an HIV/AIDS centre nearby.  ",https://neverthesamedotorg.files.wordpress.com/2011/10/haha_flood_exterior.jpg,,"Greenleaf Street, Chicago, USA ",USA ,"33.760715, -117.873804",All,,30-40,Generative,Participants only,,HaHa ,,,,,,Culture in Action
,HaHa ,HaHa ,Artists,,,,,,,,,,,,,,,,,,,,,
AF,Uncommon Sense,Uncommon Sense,Exhibitions,16/03/1997,06/07/1997,"This exhibition at the Museum of Contemporary Art, Los Angeles, explored social interactions and art, presenting a significant programme of works encompassing performance, installation, meetings, discussions and classes. Julie Lazar and Tom Finkelpearl co-curated the project, and hoped to allow space for those artworks which would not traditionally be exhibited in the museum space. ",http://cdn.shopify.com/s/files/1/0035/4502/products/uncommon_sense_300_grande.jpg?v=1254354144,,"Museum of Contemporary Art, Los Angeles, USA ",USA ,"34.053167, -118.250432",,,,,,,"Julie Lazar, Tom Finkelpearl",,,,,,MoCA LA 
,Julie Lazar,Julie Lazar,Curators,,,,,,,,,,,,,,,,,,,,,
,Tom Finkelpearl,Tom Finkelpearl,Curators,,,,,,,,,,,,,,,,Tania Bruguera ,,,,,
,"Museum of Contemporary Art, Los Angeles",MoCA,Institutions - Art,,,,,,,,,,,,,,,,,,,,,
AF,"Marie Laderman Ukeles, Unburning Freedom Hall","Laderman Ukeles, Unburning Freedom Hall",Interventions,16/03/1997,06/07/1997,"Installed in the exhibition Uncommon Sense, Marie Laderman Ukeles's Unburning Freedom Hall was part sculptural installation and part participatory story-telling project. Central to the installation was a large peace table, suspended in the space, and surrounded by 540 tonnes of crushed glass. Alongside this, Ukeles collected around 2000 stories of 'unburnings', stories from local sanitation and street maintenance workers, firefighters, and high school students, in the form of self-recorded videos which allowed the participants to reflect on significant events in their life. The work was a response to the 1838 burning of Pennsylvania Hall in Philadelphia, a meeting place for abolitionists which was burnt down after just three days. ",http://www.artnet.com/WebServices/images/ll738574llg7KfDrCWBHBAD/mierle-laderman-ukeles-unburning-freedom-hall.jpg,,"Museum of Contemporary Art, Los Angeles, USA ",USA ,"34.053167, -118.250433",All,,,Discursive,Exhibition/museum visitors,,Marie Laderman Ukeles,,,,,,Uncommon Sense MoCA 
,Marie Laderman Ukeles,Marie Laderman Ukeles,Artists,,,,,,,,,,,,,,,,,,,,,
